epoch,lr,train_loss,train_accuracy,train_macro_f1,train_weighted_f1,val_loss,val_accuracy,val_macro_f1,val_weighted_f1,best_val_macro_f1,best_epoch,epoch_seconds
1,0.001,0.6127344226874099,0.740244297913739,0.7363915587013883,0.7352971693416533,0.6277025470978881,0.8176827506501011,0.7993696866813754,0.811875773512103,0.7993696866813754,1,71.29203343391418
2,0.001,0.2615558365190437,0.9142795373473138,0.9145841350233694,0.9143625284029052,0.5233882234357266,0.8670904362900895,0.8612374682751075,0.8666247720837267,0.8612374682751075,2,55.04355025291443
3,0.001,0.21139362271539164,0.9320794148380356,0.9321207804337102,0.932123506746778,0.2482872992776586,0.9219878647789657,0.9189639619043405,0.9226253131425336,0.9189639619043405,3,51.70840549468994
4,0.001,0.18484860553462856,0.9416639642561164,0.9416753394668809,0.9416641203714431,0.3124737648911746,0.9112973129153424,0.9087450584245139,0.9127913582612404,0.9189639619043405,3,49.796847105026245
5,0.001,0.17328918898865472,0.9466724318091738,0.9466123599588228,0.9466620728419974,0.3175557374144799,0.902051430222479,0.8999797492496208,0.9025834222912386,0.9189639619043405,3,48.76590847969055
6,0.001,0.17053342710545405,0.9440781176809714,0.9441203739538965,0.9440919731121045,0.24842799118618009,0.9219878647789657,0.9208086936364386,0.9222882336629382,0.9208086936364386,6,49.09376335144043
7,0.001,0.1592402387628795,0.9489784888120203,0.9489933024756947,0.9489858773813865,0.2352502038522078,0.9277665414620052,0.9251224508772368,0.9283945196896706,0.9251224508772368,7,49.07737159729004
8,0.001,0.15319229077980143,0.9499873887507657,0.9499384473147721,0.9500181007013762,0.2523200047266721,0.9260329384570933,0.925790824894873,0.9262535962423855,0.925790824894873,8,48.44497990608215
9,0.001,0.14925843896154703,0.9505999351421468,0.9505834102856403,0.9506107479519788,0.2690892917257716,0.9225657324472696,0.9193916776102192,0.9235452895511584,0.925790824894873,8,49.415109157562256
10,0.001,0.13973120152877802,0.9542752134904334,0.9542887803234666,0.9542884385905659,0.17644485489192707,0.944235770008668,0.9428076675374768,0.9442716149871975,0.9428076675374768,10,49.79445481300354
11,0.001,0.13504580317031362,0.9555723705545347,0.9556030422904147,0.9555878854904972,0.19330280974235686,0.9364345564865646,0.9349789402566736,0.9369883743679457,0.9428076675374768,10,49.26582670211792
12,0.001,0.13123480896646858,0.9570496883219832,0.9569964689503299,0.957083820418924,0.2080728812676006,0.9329673504767408,0.9315662087265051,0.9336771594844681,0.9428076675374768,10,49.030771017074585
13,0.001,0.13066094260909375,0.9564011097899326,0.9563626261685558,0.9564056610324061,0.20679589036133111,0.9364345564865646,0.9336494416877232,0.9366966816122573,0.9428076675374768,10,49.14538025856018
14,0.0005,0.12256210301480405,0.9600403559975498,0.9600865602226885,0.9600399715643397,0.2576301977292943,0.9179427911008379,0.9146165096369459,0.919611516590594,0.9428076675374768,10,48.90714979171753
15,0.0005,0.10149143611743068,0.9654091449573019,0.9654723308822588,0.9654059399029606,0.2064809869456583,0.944813637676972,0.9435761920766039,0.9450547915619982,0.9435761920766039,15,48.96629500389099
16,0.0005,0.09817997024735214,0.9672828162721148,0.9673257682907368,0.9672894505833333,0.18359799424161594,0.9462583068477318,0.9451365768700871,0.9465084301691326,0.9451365768700871,16,49.50712275505066
17,0.0005,0.08703373652344175,0.9699131625409866,0.9699216972831756,0.969923648109784,0.19544322401167713,0.9497255128575556,0.9489247829221419,0.9498999155835688,0.9489247829221419,17,49.17219567298889
18,0.0005,0.08602515219100053,0.9704536446510287,0.9704798162438154,0.9704650056754386,0.201223848771339,0.9494365790234036,0.9482967855185528,0.9496670546952696,0.9489247829221419,17,48.64543700218201
19,0.0005,0.08325953462284581,0.9723273159658415,0.9723103181738701,0.9723239500692753,0.19051667063499228,0.9500144466917076,0.9490521412697679,0.9501315641145232,0.9490521412697679,19,49.97372245788574
20,0.0005,0.08290394013221726,0.9725795409505279,0.972621691848212,0.9725845825995751,0.19629263469550573,0.9491476451892517,0.9476031941590886,0.949279046589744,0.9490521412697679,19,49.187044620513916
21,0.0005,0.07531056302786088,0.9749936943753829,0.974958429953629,0.9749869252237234,0.205042101177171,0.9494365790234036,0.9489241095698039,0.9494435333139432,0.9490521412697679,19,49.71892595291138
22,0.0005,0.06648320808924944,0.9774078478002378,0.9773982036534337,0.9773896899975973,0.28625063713246024,0.9381681594914765,0.9359338487068688,0.9383250474705477,0.9490521412697679,19,49.029847145080566
23,0.0005,0.06389556285985176,0.977119590674882,0.9770949401840681,0.9771138967386339,0.22442555418604007,0.9503033805258596,0.9493354414528254,0.9503720185819982,0.9493354414528254,23,49.600085973739624
24,0.0005,0.06576616051258004,0.9772276870968905,0.9771994243532508,0.9772161478309306,0.24393886764070577,0.9474140421843398,0.946927311420969,0.9474797658805694,0.9493354414528254,23,49.685600996017456
25,0.0005,0.06012223868183873,0.9797139048030844,0.9797095627190329,0.9797118891367602,0.2193173371821144,0.9508812481941635,0.9502153847389517,0.950968453670498,0.9502153847389517,25,50.09024000167847
26,0.0005,0.054724430042075944,0.9810470940078551,0.9810263634778634,0.9810285264174426,0.24409312744546052,0.944813637676972,0.9438316472615643,0.9449717326970934,0.9502153847389517,25,49.67411708831787
27,0.0005,0.050372105566179694,0.9824883796346341,0.9824694509992574,0.9824757736517385,0.26381427829660703,0.9427911008379081,0.9414615027495377,0.9429012704522736,0.9502153847389517,25,49.396265745162964
28,0.0005,0.05082112971130987,0.9824883796346341,0.9824958866852034,0.9824797382900455,0.2520508552343487,0.9477029760184917,0.9454967681767731,0.9476420488492637,0.9502153847389517,25,49.431697368621826
29,0.00025,0.04561237815960952,0.9838576009800742,0.9838438195662405,0.9838423166955238,0.25865346478869183,0.943946836174516,0.9431811953902026,0.9439946243831482,0.9502153847389517,25,50.20511817932129
30,0.00025,0.035115091738200176,0.9882535221417504,0.98825186932365,0.9882379058953461,0.3020087015989383,0.9500144466917076,0.9487357428427279,0.9500904120883867,0.9502153847389517,25,49.73292660713196
31,0.00025,0.028125364649369045,0.9901992577379022,0.9901911341100458,0.9901921107877709,0.3347452755525843,0.9453915053452759,0.9436308892953553,0.9454777013811184,0.9502153847389517,25,49.876853227615356
32,0.00025,0.02527314165480717,0.9915684790833423,0.9915684347318782,0.9915600302744346,0.32855529660047955,0.9456804391794279,0.9446055088761997,0.945672393989058,0.9502153847389517,25,49.59263300895691
