segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,284.813,440.307,14.2624,6.006,1.001,0.310242
10.01,280.503,25.032,2.1694,10.5105,0.5005,0.295404
15.015,233.813,30.6032,2.8262,15.5155,0.5005,0.292886
20.02,197.038,37.0815,1.8316,20.5205,0.5005,0.831204
25.025,205.558,21.2505,1.6279,25.5255,0.5005,0.589965
30.03,198.243,35.7516,1.5655,30.5305,0.5005,0.662111
