frame,time_sec,kp0_x,kp0_y,kp0_c,kp1_x,kp1_y,kp1_c,kp2_x,kp2_y,kp2_c,kp3_x,kp3_y,kp3_c,kp4_x,kp4_y,kp4_c,kp5_x,kp5_y,kp5_c,kp6_x,kp6_y,kp6_c,kp7_x,kp7_y,kp7_c,kp8_x,kp8_y,kp8_c,kp9_x,kp9_y,kp9_c,kp10_x,kp10_y,kp10_c,kp11_x,kp11_y,kp11_c,kp12_x,kp12_y,kp12_c,kp13_x,kp13_y,kp13_c,kp14_x,kp14_y,kp14_c
125,4.17083,888,256,0.580768,896,248,0.611921,880,256,0.611581,856,352,0.593009,840,448,0.579822,912,416,0.506592,960,336,0.430754,1032,416,0.260624,896,272,0.115649,896,528,0.278746,0,0,0,0,0,0,984,528,0.196226,0,0,0,0,0,0
130,4.33767,888,304,0.235495,904,304,0.220803,880,296,0.261897,872,352,0.34067,840,392,0.36081,856,384,0.211398,952,352,0.37112,960,408,0.183714,896,376,0.114993,880,464,0.36051,888,568,0.153751,904,664,0.111722,944,472,0.313098,936,560,0.2111,896,648,0.115372
135,4.5045,976,240,0.523881,992,232,0.538946,968,232,0.543073,944,272,0.722532,872,272,0.540726,952,192,0.407485,1008,272,0.530955,1032,240,0.277689,960,224,0.271081,952,376,0.478241,840,416,0.118982,0,0,0,1016,376,0.266409,0,0,0,0,0,0
140,4.67133,936,256,0.909757,960,248,0.845964,936,248,0.959327,896,344,0.844277,848,416,0.604653,816,448,0.285403,1056,352,0.870193,1080,448,0.82991,984,376,0.57086,904,528,0.58446,896,648,0.16375,0,0,0,1024,536,0.567183,1032,688,0.10487,0,0,0
145,4.83817,952,264,0.856882,968,256,0.857696,944,256,0.852382,904,336,0.823175,880,296,0.502906,912,232,0.505273,1040,352,0.803525,1080,440,0.766406,976,376,0.631296,912,544,0.533635,944,664,0.174304,0,0,0,1032,544,0.580922,1072,696,0.166906,0,0,0
150,5.005,720,400,0.150747,728,400,0.152766,728,392,0.13908,0,0,0,904,288,0.177597,0,0,0,0,0,0,0,0,0,0,0,0,928,352,0.135941,0,0,0,0,0,0,984,352,0.154355,0,0,0,0,0,0
155,5.17183,944,256,0.749803,968,248,0.776453,952,256,0.776564,904,352,0.877766,856,416,0.594023,848,440,0.290956,1040,360,0.781426,1128,440,0.4678,1032,400,0.546488,936,544,0.583787,992,688,0.168545,0,0,0,1040,536,0.487106,0,0,0,0,0,0
160,5.33867,952,264,0.818357,968,248,0.868486,960,256,0.775498,912,352,0.825241,864,312,0.551529,944,288,0.248373,1064,368,0.730813,1168,440,0.503299,1080,384,0.529644,952,560,0.521023,976,680,0.113218,0,0,0,1056,568,0.427856,0,0,0,0,0,0
165,5.5055,960,264,0.61904,976,256,0.64042,960,256,0.624782,920,352,0.803611,864,296,0.3961,944,256,0.33547,1056,360,0.746128,1096,400,0.366584,1144,392,0.362037,952,552,0.571184,976,664,0.193961,0,0,0,1064,552,0.56654,1080,688,0.14836,0,0,0
170,5.67233,760,472,0.342193,792,304,0.294885,776,304,0.344749,768,488,0.290357,752,296,0.35903,760,448,0.320124,840,336,0.210482,832,320,0.166681,784,424,0.16014,808,560,0.187628,0,0,0,0,0,0,840,544,0.140311,0,0,0,0,0,0
