segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,201.867,368.594,4.3003,6.006,1.001,0.158947
10.01,210.947,27.1692,1.6329,10.5105,0.5005,0.180295
15.015,214.558,34.2112,2.1921,15.5155,0.5005,0.282292
20.02,215.982,29.3329,2.3946,20.5205,0.5005,0.300388
25.025,227.485,32.9375,1.9142,25.5255,0.5005,0.43453
30.03,217.503,23.6523,2.189,30.5305,0.5005,0.400877
35.035,210.061,22.6576,2.1008,35.5355,0.5005,0.45919
40.04,219.976,18.8475,1.9646,40.5405,0.5005,0.620404
45.045,226.158,38.8343,1.5753,45.5455,0.5005,0.548756
50.05,208.547,19.0871,2.1639,50.5505,0.5005,0.474008
55.055,211.368,33.885,2.1041,55.4554,0.4004,0.513855
60.06,215.219,28.2896,2.4331,60.5605,0.5005,0.628673
65.065,206.608,32.4233,2.3182,65.5655,0.5005,0.621089
70.07,212.855,30.3106,2.2104,70.5705,0.5005,0.389319
75.075,209.765,33.3683,1.7601,75.5755,0.5005,0.30049
80.08,218.036,23.9689,1.9727,80.5805,0.5005,0.465384
85.085,213.363,26.5772,1.8169,85.5855,0.5005,0.420865
90.09,202.982,29.5935,2.0903,90.5905,0.5005,0.483521
