segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,176.545,321.313,2.6014,6.006,1.001,0.17449
10.01,199.833,20.1654,2.414,10.5105,0.5005,0.481533
15.015,169.348,24.8013,2.8803,15.5155,0.5005,0.691153
20.02,196.523,27.3938,2.2996,20.5205,0.5005,0.813769
25.025,201.931,34.1105,1.6556,25.5255,0.5005,0.780996
30.03,187.622,29.866,2.1973,30.3637,0.333667,0.768299
35.035,190.478,36.3936,2.2849,35.5021,0.467133,0.805123
40.04,200.357,33.7055,1.9564,40.5405,0.5005,0.846709
45.045,183.111,26.5174,1.9283,45.5455,0.5005,0.811373
50.05,185.164,18.1696,1.8781,50.05,0,0.773571
55.055,183.236,32.9103,1.92,55.055,0,0.744618
60.06,197.376,34.1623,2.2908,60.06,0,0.725014
65.065,185.403,22.1264,2.7766,65.2318,0.166833,0.665104
70.07,183.737,31.4181,3.0609,70.2368,0.166833,0.678884
75.075,206.791,28.4848,1.6363,75.075,0,0.469096
80.08,207.871,22.7785,2.8052,80.4137,0.333667,0.75463
85.085,210.887,19.9482,1.8927,85.5855,0.5005,0.827154
90.09,201.101,21.9469,2.2534,90.4904,0.4004,0.525928
