segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,232.19,221.329,2.1513,6.006,1.001,0.365654
10.01,196.2,22.0203,1.997,10.5105,0.5005,0.222418
15.015,213.217,33.0393,1.6166,15.5155,0.5005,0.313195
20.02,208.432,29.0141,1.5985,20.5205,0.5005,0.55236
25.025,268.009,27.6351,1.9093,25.5255,0.5005,0.677924
30.03,239.025,21.6215,1.9052,30.03,0,0.635289
35.035,209.764,35.0509,1.8325,35.2018,0.166833,0.826174
40.04,212.407,21.3816,3.1395,40.407,0.367033,0.84144
45.045,214.045,21.1656,2.5349,45.5455,0.5005,0.849039
50.05,208.564,21.2815,1.5638,50.5505,0.5005,0.244473
55.055,223.26,27.8218,2.4578,55.5555,0.5005,0.38421
60.06,210.549,34.0178,2.1629,60.5605,0.5005,0.251781
65.065,215.753,37.4398,3.0396,65.5655,0.5005,0.333614
70.07,237.808,31.5399,1.6897,70.5705,0.5005,0.37505
75.075,241.303,27.797,1.6345,75.5755,0.5005,0.470684
80.08,216.738,23.3445,2.2182,80.5805,0.5005,0.527792
