segment_end_sec,token_build_ms,vivit_ms,onnx_ms,gate_receive_sec,cj_age_sec,cj_prob
5.005,311.353,299.575,2.576,6.006,1.001,0.131623
10.01,274.202,25.1858,2.2684,10.5105,0.5005,0.257163
15.015,222.945,29.7625,2.3633,15.5155,0.5005,0.444495
20.02,260.325,37.0564,1.8328,20.5205,0.5005,0.55379
25.025,243.319,29.8479,2.3663,25.5255,0.5005,0.45353
30.03,208.717,21.9009,2.1864,30.5305,0.5005,0.524599
35.035,226.464,35.5127,2.1493,35.5355,0.5005,0.704658
40.04,221.729,25.4586,2.0918,40.5405,0.5005,0.732255
45.045,243.838,22.0125,1.5711,45.5455,0.5005,0.578167
50.05,196.446,23.5815,2.9857,50.3837,0.333667,0.66944
55.055,255.031,31.6393,1.473,55.5555,0.5005,0.495293
60.06,244.261,35.809,1.6788,60.5605,0.5005,0.398924
65.065,273.766,26.8099,2.6587,65.5655,0.5005,0.212655
70.07,268.306,28.5816,2.1516,70.5705,0.5005,0.196189
75.075,268.964,24.0045,1.5805,75.5755,0.5005,0.170751
